               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051076,            0.022432,            0.042583,             0.15129,             0.46725,             0.28857,             0.17162,            0.025167,           0.0062197,            0.023468,            0.070057,            0.003327,            0.003327
                   1,            0.037463,             0.01577,            0.034216,             0.45833,             0.59336,             0.53888,             0.31498,            0.019722,           0.0063518,            0.020696,            0.039991,           0.0065944,           0.0065944
                   2,            0.036869,            0.016028,            0.030985,              0.4436,             0.52094,             0.44502,             0.26172,            0.020544,           0.0074009,            0.024018,           0.0098589,           0.0097958,           0.0097958
                   3,            0.036112,            0.017093,            0.032066,             0.42379,             0.45296,             0.40931,             0.25028,            0.021798,           0.0077941,            0.027365,            0.009703,            0.009703,            0.009703
                   4,            0.035637,            0.016894,            0.031495,             0.58657,             0.59318,             0.60401,             0.37279,            0.020047,            0.007002,            0.019449,            0.009703,            0.009703,            0.009703
                   5,            0.033465,            0.016444,            0.028984,             0.66513,             0.53194,             0.57368,             0.36391,            0.018876,           0.0077189,            0.019644,            0.009604,            0.009604,            0.009604
                   6,            0.032648,            0.016324,            0.027758,             0.69777,             0.55515,             0.63142,             0.41185,            0.018243,           0.0070424,            0.018148,            0.009505,            0.009505,            0.009505
                   7,             0.03214,            0.016014,            0.027798,             0.48357,             0.49573,              0.3934,             0.24515,            0.020653,            0.008133,            0.031089,            0.009406,            0.009406,            0.009406
                   8,            0.030983,            0.015647,            0.027073,             0.67059,             0.68683,             0.71296,             0.49067,            0.016718,           0.0062826,            0.015143,            0.009307,            0.009307,            0.009307
                   9,            0.030717,             0.01563,            0.026875,             0.66061,             0.65941,             0.70122,             0.47275,            0.017193,           0.0064596,            0.016263,            0.009208,            0.009208,            0.009208
                  10,            0.029836,            0.015335,            0.025381,             0.69104,             0.68441,             0.72314,             0.50213,            0.017167,           0.0061772,            0.016693,            0.009109,            0.009109,            0.009109
                  11,            0.029794,            0.015155,            0.025405,             0.69523,             0.63951,             0.69532,             0.47599,            0.016381,           0.0066417,            0.016564,             0.00901,             0.00901,             0.00901
                  12,            0.029337,            0.015089,            0.024283,             0.74279,             0.63923,              0.7216,             0.50087,            0.016894,           0.0062116,             0.01686,            0.008911,            0.008911,            0.008911
